,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
MSFT,393.9,0.993,-115.129,0.281,0.965,0.918,0.967,0.69,0.754,0.918,0.944
AAPL,372.8,0.988,68.405,0.543,0.98,0.64,0.937,0.98,0.026,0.98,0.999
NVDA,501.1,1.0,-198.551,0.123,0.997,0.976,0.996,0.816,0.947,0.884,0.328
GOOGL,390.3,0.992,34.46,0.492,0.977,0.824,0.956,0.876,0.83,0.87,0.971
GOOG,390.3,0.992,34.46,0.492,0.977,0.824,0.956,0.876,0.83,0.87,0.971
AMZN,322.4,0.968,-114.291,0.283,0.922,0.967,0.834,0.868,0.359,0.438,0.265
META,436.4,0.997,-33.396,0.399,0.987,0.891,0.985,0.867,0.797,0.807,0.992
BRK-B,298.5,0.952,285.184,0.837,0.957,0.898,0.722,0.611,0.529,0.438,0.951
BRK-A,298.5,0.952,285.184,0.837,0.957,0.898,0.722,0.611,0.529,0.438,0.951
TSM,61.3,0.428,33.078,0.49,0.287,0.696,0.241,0.491,0.269,0.438,0.638
LLY,243.5,0.891,-232.442,0.066,0.933,0.884,0.725,0.859,0.06,0.807,0.25
AVGO,336.6,0.975,-110.939,0.287,0.997,0.641,0.994,0.316,0.192,0.873,0.909
V,398.3,0.994,-19.712,0.417,0.99,0.714,0.991,0.764,0.352,0.438,0.999
JPM,201.0,0.808,169.621,0.685,0.857,0.833,0.789,0.083,0.126,0.438,0.998
NONOF,486.3,0.999,422.853,0.957,0.997,0.995,0.99,0.666,0.245,0.891,0.946
NVO,486.3,0.999,-187.41,0.14,0.997,0.995,0.99,0.666,0.245,0.891,0.946
TSLA,364.1,0.985,-121.332,0.271,0.958,0.985,0.512,0.871,0.903,0.91,0.311
WMT,229.8,0.868,85.703,0.567,0.902,0.604,0.637,0.94,0.199,0.438,0.923
XOM,203.2,0.813,299.58,0.854,0.731,0.473,0.516,0.895,0.864,0.438,0.986
MA,375.6,0.989,-106.342,0.294,0.997,0.792,0.99,0.655,0.026,0.438,0.999
LVMUY,259.4,0.913,54.884,0.522,0.965,0.906,0.894,0.046,0.558,0.438,0.894
LVMHF,259.4,0.913,54.884,0.522,0.965,0.906,0.894,0.046,0.558,0.438,0.894
UNH,301.2,0.954,222.591,0.757,0.969,0.833,0.696,0.925,0.193,0.438,0.969
ASMLF,377.0,0.989,-205.767,0.109,0.997,0.952,0.971,0.126,0.245,0.878,0.931
