,type,ticker1_bbg,ticker2_bbg,ticker1_y,ticker2_y,fair_value_ratio,Drop?
0,DLC,BHP AU,BHP LN,BHP.AX,BHP.L,1,
1,DLC,RIO AU,RIO LN,RIO.AX,RIO.L,1,
2,DLC,CCL LN,CCL US,CCL.L,CCL,1,
3,DLC,REL LN,REN NA,REL.L,REN.AS,1,
4,DLC,ULVR LN,UNA NA,ULVR.L,UNA.AS,1,
5,DLC,INVP LN,INL SJ,INVP.L,INL.JO,1,
6,DLC,BHP US,BBL US,BHP,BBL,1,
7,Pref-ord,VOW3 GY,VOW GY,VOW3.DE,VOW.DE,1,
8,Similar companies,1925 JP,1928 JP,1925.T,1928.T,,
9,Similar companies,6501 JP,6502 JP,6501.T,6502.T,,
10,Similar companies,6201 JP,7203 JP,6201.T,7203.T,,
11,Similar companies,9433 JP,9434 JP,9433.T,9434.T,,
12,A-H pairs,601318 CH,2318 HK,601318.SS,2318.HK,1,
13,A-H pairs,600030 CH,6030 HK,600030.SS,6030.HK,1,
14,A-H pairs,000063 CH,763 HK,000063.SZ,0763.HK,1,
15,A-H pairs,600036 CH,3968 HK,600036.SS,3968.HK,1,
16,A-H pairs,600837 CH,6837 HK,600837.SS,6837.HK,1,
17,A-H pairs,601688 CH,6886 HK,601688.SS,6886.HK,1,
18,A-H pairs,000002 CH,2202 HK,000002.SZ,2202.HK,1,
19,A-H pairs,601398 CH,1398 HK,601398.SS,1398.HK,1,
20,A-H pairs,600585 CH,914 HK,600585.SS,0914.HK,1,
21,A-H pairs,601288 CH,1288 HK,601288.SS,1288.HK,1,
22,A-H pairs,000338 CH,2338 HK,000338.SZ,2338.HK,1,
23,A-H pairs,601186 CH,1186 HK,601186.SS,1186.HK,1,
24,A-H pairs,601601 CH,2601 HK,601601.SS,2601.HK,1,
25,A-H pairs,601336 CH,1336 HK,601336.SS,1336.HK,1,
26,A-H pairs,601881 CH,6881 HK,601881.SS,6881.HK,1,
