Metric,Name
BQ_score,Business Quality Score
BQ_score_percentile,BQ Score Percentile
BQ_score_chg_0y,Business Quality Score YoY Change
BQ_RoC_score_percentile,BQ Return on Capital Score
BQ_growth_score_percentile,BQ Growth Score
BQ_profitability_score_percentile,BQ Profitability Score
BQ_asset_intensity_score_percentile,BQ Asset Intensity Score
BQ_capital_structure_score_percentile,BQ Capital Structure Score
BQ_reinvestment_score_percentile,BQ Reinvestment Score
BQ_shareholder_score_percentile,BQ Shareholder Transactions Score
separator,---
EQ_score,Earnings Quality Score
EQ_score_percentile,EQ Score Percentile
govern_score,Governance Score
govern_score_percentile,Governance Score Percentile
V_score,Valuation Score
V_score_fundamental_percentile,Valuation Fundamental Score
V_score_relative_percentile,Valuation Relative Score
V_score_percentile,Valuation Score Percentile
separator,---
ROE,RoE
median ROE 3-yr,RoE (median 3-yr)
ROE_change,RoE yoy change
ROA,RoA
RNOA,RNOA
ROIC,ROIC
separator,---
GPM%,Gross Margin
OPMargin,OP Margin
PM,Profit Margin
median PM 3-yr,PM (median 3-yr)
PM_change,PM change
OPM_change,OPM change
SGA_pctSales,SG&A / Sales
FCF%sales,FCF / Sales
CFO%sales,CFO / Sales
separator,---
Revenue 1-yr CAGR,Revenue growth (1-yr)
Revenue 3-yr CAGR,Revenue growth (3-yr CAGR)
ShareholderEquity 1-yr CAGR,Book Equity growth (1-yr)
ShareholderEquity 3-yr CAGR,Book Equity growth (3-yr)
separator,---
assets/equity,Assets / Equity
assets/equity_change,Assets / Equity change
net_debt/equity,Net Debt / Equity
separator,---
sales/assets,Sales / Assets
sales/asset_change,Sales / Assets change
Sales/avg_NOA,Sales / NOA
separator,---
R&D_pctSales,R&D % Sales
S&M%sales,Marketing / Sales
capitalExpenditures_pctSales,Capex / Sales
total_investment/sales,Total Investments / Sales
separator,---
Share growth,Share Growth (1-yr)
div_payout_rate,Payout Rate
separator,---
P/E_ttm,P/E ttm
P/B,P/B
P/S_ttm,P/S ttm
EV/EBIT_ttm,EV/EBIT ttm
EV/EBITDA_ttm,EV/EBITDA ttm
separator,---
days_CCC,Cash Conversion Cycle (days)
days_CCC_change,CCC change (days)
days_sales_outstanding,Days Sales
days_inventory_outstanding,Days Inventory
days_payables_outstanding,Days Payables
sloan_accruals_assets,Accruals / Assets
avg_PPE_life,PPE life (years)
intangibleAssets/totalAssets,Intangibles / Total Assets
CFO_NI,CFO / NI
